id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
         384,  0.3947954E+06,  0.6464114E+07,    16.736,    20.971
         385,  0.3947069E+06,  0.6464088E+07,    16.880,    20.873
         386,  0.3947133E+06,  0.6464184E+07,     8.623,    10.644
         387,  0.3947985E+06,  0.6464206E+07,     8.880,    11.021
         388,  0.3946184E+06,  0.6464063E+07,    17.749,    22.234
         389,  0.3946280E+06,  0.6464162E+07,     8.715,    10.775
         390,  0.3945299E+06,  0.6464037E+07,    19.287,    25.085
         391,  0.3945428E+06,  0.6464140E+07,     9.145,    11.592
         392,  0.3944576E+06,  0.6464117E+07,     9.464,    12.247
         393,  0.3947163E+06,  0.6464276E+07,    16.453,    20.704
         394,  0.3946344E+06,  0.6464257E+07,    16.644,    20.675
         395,  0.3946375E+06,  0.6464349E+07,     7.756,     9.607
         396,  0.3947160E+06,  0.6464364E+07,     7.997,     9.973
         397,  0.3945524E+06,  0.6464239E+07,    17.496,    21.981
         398,  0.3945591E+06,  0.6464334E+07,     7.810,     9.651
         399,  0.3944705E+06,  0.6464220E+07,    18.955,    24.618
         400,  0.3944807E+06,  0.6464319E+07,     8.115,    10.200
         401,  0.3944023E+06,  0.6464304E+07,     8.355,    10.655
         402,  0.3946372E+06,  0.6464438E+07,    16.378,    20.758
         403,  0.3945623E+06,  0.6464426E+07,    16.511,    20.608
         404,  0.3945667E+06,  0.6464517E+07,     6.985,     8.696
         405,  0.3946379E+06,  0.6464525E+07,     7.223,     9.070
         406,  0.3944874E+06,  0.6464415E+07,    17.187,    21.558
         407,  0.3944955E+06,  0.6464508E+07,     6.981,     8.630
         408,  0.3944125E+06,  0.6464403E+07,    18.404,    23.631
         409,  0.3944243E+06,  0.6464500E+07,     7.171,     8.952
         410,  0.3943531E+06,  0.6464492E+07,     7.341,     9.254
         411,  0.3945674E+06,  0.6464604E+07,    18.509,    23.681
         412,  0.3944999E+06,  0.6464599E+07,    18.344,    23.063
         413,  0.3945162E+06,  0.6464690E+07,     7.058,     8.866
         414,  0.3945856E+06,  0.6464694E+07,     7.327,     9.290
         415,  0.3944324E+06,  0.6464594E+07,    18.697,    23.519
         416,  0.3944468E+06,  0.6464687E+07,     6.932,     8.629
         417,  0.3943649E+06,  0.6464589E+07,    19.611,    25.111
         418,  0.3943773E+06,  0.6464684E+07,     7.003,     8.783
